id,name,salary,promotion,phonenumber,datausage,subdistrict,data,call,call usage,age,date,Net Over limit,Call Over limit,STATUS
14139,Emilie Bailey,30000,890,855738264,14,บ่อแร่,30,300,358,35,15/4/2018 22:53,0,58,OK
14140,Kamryn Schiller,18000,590,881468668,30,บ้านโปร่ง,20,200,604,28,16/6/2018 16:22,10,404,OK
14141,Marquis Beahan I,50000,590,888474070,14,พระธาตุขิงแกง,20,200,238,41,27/1/2019 22:43,0,38,OK
14142,Hertha Rath,15000,1090,870620300,12,สาวะถี,50,500,114,16,13/1/2019 20:50,0,0,OK
14143,Astrid Toy,50000,390,881165863,46,โพนแพง,10,100,89,30,16/7/2018 23:38,36,0,TX
14144,Herta Jaskolski,25000,390,866443413,37,สหกรณ์นิคม,10,100,199,43,15/12/2018 16:54,27,99,OK
14145,Dr. Dane Luettgen DVM,50000,1090,871398600,29,มะมุ,50,500,650,44,14/7/2018 16:43,0,150,OK
14146,Mr. Parker Barrows MD,30000,390,835645623,7,จีกแดก,10,100,510,50,2/6/2018 16:44,0,410,TX
14147,Prof. Buster Ondricka Jr.,30000,390,826921893,2,พ่อมิ่ง,10,100,550,36,9/5/2018 14:47,0,450,TX
14148,Dr. Dedrick Stokes,20000,890,818259375,48,กุดขอนแก่น,30,300,180,39,30/5/2018 07:47,18,0,TX
14149,Deshawn Kuvalis,20000,590,815470312,5,ปากดุก,20,200,660,32,7/3/2018 15:59,0,460,TX
14150,Jaylin Olson V,25000,390,896075385,25,วังเย็น,10,100,192,46,5/5/2018 07:00,15,92,TX
14151,Darlene Lynch,20000,1090,840546588,12,ทุ่งบัว,50,500,615,58,30/4/2018 02:37,0,115,OK
14152,Miss Petra Lakin PhD,20000,590,880246320,48,กร่ำ,20,200,13,22,3/8/2018 06:36,28,0,OK
14153,Mrs. Bettye Labadie PhD,25000,590,863469849,17,โคกสว่าง,20,200,451,34,9/4/2018 20:43,0,251,TX
14154,Wilfredo Heaney,12000,890,851986461,32,ป่งไฮ,30,300,626,25,23/8/2018 09:13,2,326,OK
14155,Bethany Kuhlman,15000,890,898451897,16,ไผ่,30,300,565,19,14/1/2019 14:45,0,265,TX
14156,Joanie Hand,30000,390,811603542,24,ม่วง,10,100,12,48,22/2/2018 05:26,14,0,TX
14157,Eliane Murazik,25000,390,834568344,38,หนองหมี,10,100,209,35,13/6/2018 10:44,28,109,TX
14158,Roxane Gislason,15000,590,850095841,27,หนองยวง,20,200,366,29,16/7/2018 06:11,7,166,TX
14159,Mr. Connor Spinka,20000,890,873669641,33,หนองใหญ่,30,300,423,25,11/5/2018 06:19,3,123,OK
14160,Adan Johnson,20000,890,870197847,9,นาพญา,30,300,574,21,15/12/2018 08:08,0,274,OK
14161,Mr. Elwin Kovacek,50000,390,822230420,3,รอบเมือง,10,100,531,48,18/3/2018 19:42,0,431,OK
14162,Prof. Euna Schowalter,50000,890,855975251,12,สำนักแต้ว,30,300,312,50,2/3/2018 12:16,0,12,OK
14163,Dena Hegmann,25000,590,893602775,26,ปากแพรก,20,200,703,58,20/1/2019 19:22,6,503,OK
14164,Marisa Gleichner,30000,390,865750033,31,ปานัน,10,100,132,56,30/6/2018 13:17,21,32,OK
14165,Miss Janae Thompson,20000,1090,891663576,23,แม่ปั๋ง,50,500,85,52,25/1/2019 09:38,0,0,OK
14166,Dr. Greyson Schamberger Sr.,15000,590,866323327,27,บ่อพุ,20,200,345,19,20/8/2018 21:27,7,145,TX
14167,Prof. Savion Wyman,20000,1090,873052630,49,ปากคลอง,50,500,789,19,4/3/2018 20:02,0,289,OK
14168,Prof. Shad Ruecker,20000,1090,862218098,6,ยางราก,50,500,161,58,15/7/2018 08:58,0,0,OK
14169,Yvonne Oberbrunner,50000,390,870261399,48,หาดทรายรี,10,100,486,51,8/11/2018 13:13,38,386,TX
14170,Emory Rolfson,50000,590,820782027,27,วังมะนาว,20,200,140,49,11/12/2018 01:07,7,0,TX
14171,Ms. Rubye Ziemann Jr.,15000,1090,845681015,8,ดอนเปา,50,500,383,28,4/5/2018 03:43,0,0,TX
14172,Breanna Cronin,12000,590,859064823,10,บางคูรัด,20,200,183,24,19/8/2018 15:18,0,0,OK
14173,Flavio Medhurst,25000,390,869947794,41,ฉาง,10,100,190,50,30/7/2018 18:54,31,90,OK
14174,Ms. Santina Leffler Sr.,12000,590,850170708,35,แม่ฮี้,20,200,562,27,20/5/2018 23:44,15,362,OK
14175,Ms. Carolyn Lesch V,25000,590,823989336,27,หนองคู,20,200,565,33,23/12/2018 06:21,7,365,OK
14176,Wyman Mann,25000,590,852473157,19,ห้วยยูง,20,200,427,43,19/12/2018 23:31,0,227,OK
14177,Kyleigh Lubowitz,18000,590,852698233,10,ตลาดหลวง,20,200,240,18,11/8/2018 13:45,0,40,OK
14178,Aubrey Klein,25000,1090,873826352,41,บ้านค้อ,50,500,591,40,1/4/2018 18:24,0,91,OK
14179,Mrs. Maiya Nicolas,25000,1090,836934173,26,บางขนุน,50,500,12,42,24/9/2018 20:34,0,0,OK
14180,Geo O'Connell,30000,590,818383084,11,ลี้,20,200,359,41,15/5/2018 19:57,0,159,TX
14181,Vito Lakin,12000,590,821931831,4,ท่าซอม,20,200,539,23,20/10/2018 03:06,0,339,OK
14182,Gaylord Schroeder,30000,590,877089976,23,รวมไทยพัฒนา,20,200,392,44,24/7/2018 20:37,3,192,OK
14183,Prof. Jovany Hand,25000,1090,894654094,12,ไทรม้า,50,500,244,33,26/11/2018 01:19,0,0,TX
14184,Quinten Schiller,50000,1090,866130225,31,สวนหม่อน,50,500,784,59,11/10/2018 07:37,0,284,TX
14185,Miss Justina Ullrich I,12000,1090,894177667,45,ปะคำ,50,500,539,20,19/9/2018 03:44,0,39,OK
14186,Mrs. Providenci Rutherford,30000,890,856581417,43,เบตง,30,300,688,59,7/10/2018 05:35,13,388,OK
14187,Hipolito Schinner,15000,1090,830078705,10,ศรีสมเด็จ,50,500,702,27,22/5/2018 09:33,0,202,TX
14188,Eleanora Weimann V,50000,390,815160182,41,ท่ามะกา,10,100,370,60,15/1/2019 01:18,31,270,OK
14189,Haven Prosacco PhD,50000,1090,852635512,32,บางคูวัด,50,500,438,33,14/3/2018 20:39,0,0,OK
14190,Mr. Ulices Pfannerstill,18000,390,878538758,2,ขุย,10,100,419,28,24/11/2018 13:56,0,319,TX
14191,Talon Effertz,30000,1090,813138140,16,จีกแดก,50,500,431,37,9/4/2018 17:58,0,0,TX
14192,Gail King,20000,890,843245269,11,โพธาราม,30,300,315,48,19/2/2018 01:03,0,15,OK
14193,Mark Muller,30000,890,889623915,17,บ้านแก่ง,30,300,447,43,3/8/2018 16:21,0,147,OK
14194,Ophelia Effertz DDS,20000,590,888691636,42,กกแรต,20,200,746,31,28/1/2019 04:26,22,546,OK
14195,Arno Kuhic II,15000,590,836386601,10,หนองน้ำใส,20,200,724,27,3/7/2018 09:18,0,524,TX
14196,Orland Barrows,30000,590,865829091,29,สระแจง,20,200,381,36,30/8/2018 17:03,9,181,TX
14197,Prof. Carmine Mayert,20000,890,851060341,27,ปากทรง,30,300,308,57,5/2/2019 10:34,0,8,TX
14198,Miss Naomie Swaniawski PhD,18000,890,896642883,36,คลองทราย,30,300,613,17,4/6/2018 16:57,6,313,TX
14199,Zella Rempel,18000,890,863660484,36,โนนสมบูรณ์,30,300,537,16,6/1/2019 05:17,6,237,TX
14200,Jadyn Rohan,30000,590,860973236,26,ตลาดโพธิ์,20,200,432,30,26/8/2018 04:43,6,232,TX
14201,Ms. Queenie Welch Sr.,25000,1090,893862483,26,ช่างปี่,50,500,252,59,24/1/2019 04:07,0,0,OK
14202,Florencio Armstrong,25000,890,839349263,22,หนองแซง,30,300,531,54,19/4/2018 20:44,0,231,OK
14203,Kay Koss PhD,20000,390,895240581,44,เกาะพระทอง,10,100,149,23,9/8/2018 12:33,34,49,OK
14204,Gerard Kozey Sr.,18000,1090,897285921,8,แม่คะ,50,500,598,23,2/11/2018 13:43,0,98,OK
14205,Hulda Dickinson,20000,1090,871124324,41,หนองเรือ,50,500,366,58,19/12/2018 18:54,0,0,OK
14206,Lela Lubowitz,30000,1090,865309203,16,สาวชะโงก,50,500,249,30,29/8/2018 07:27,0,0,OK
14207,Dr. Letha Reichert,18000,590,853774380,2,หนองกรด,20,200,92,24,22/3/2018 06:02,0,0,OK
14208,Alphonso Hammes,20000,590,850291134,22,ผักแพว,20,200,546,38,7/2/2019 09:22,2,346,TX
14209,Delmer Powlowski,15000,590,849537171,45,หว้านใหญ่,20,200,27,22,1/8/2018 15:50,25,0,OK
14210,Pearl Gibson,50000,1090,880732821,41,บางทรายใหญ่,50,500,142,38,26/2/2018 05:54,0,0,TX
14211,Mr. Parker Herzog DVM,50000,390,856194367,42,ห้วยขุนราม,10,100,744,31,22/8/2018 20:56,32,644,TX
14212,Misael Cummerata,15000,590,857624409,42,หนองสาหร่าย,20,200,743,17,27/1/2019 06:20,22,543,TX
14213,Mr. Russell Green,18000,590,898565586,5,สันกลาง,20,200,199,21,28/7/2018 09:44,0,0,TX
14214,Esta Lang,20000,590,859116946,28,กบเจา,20,200,478,38,21/10/2018 01:04,8,278,TX
14215,Dr. Jamal Abshire,15000,590,824160772,48,วังไผ่,20,200,735,28,26/10/2018 22:32,28,535,OK
14216,Marion Hagenes III,50000,1090,846232925,25,ทุ่งรวงทอง,50,500,266,30,18/1/2019 20:45,0,0,OK
14217,Kaylin Gulgowski PhD,20000,590,872718750,29,เกาะขันธ์,20,200,4,50,6/7/2018 22:00,9,0,OK
14218,Randal Howell,20000,890,854666595,45,นาหมอบุญ,30,300,232,59,1/1/2019 06:08,15,0,OK
14219,Zora Fritsch,25000,590,838080724,19,ท่างิ้ว,20,200,4,37,17/5/2018 15:25,0,0,OK
14220,Stevie Carter V,30000,390,824259632,49,เหนือเมือง,10,100,579,53,14/5/2018 15:33,39,479,TX
14221,Prof. Bonita Hamill,25000,1090,879655373,44,หนองบ่อ,50,500,77,31,30/5/2018 23:56,0,0,OK
14222,Mr. Francesco Cassin,30000,390,878926615,14,น้ำผุด,10,100,552,44,9/3/2018 20:34,4,452,OK
14223,Caitlyn Kulas,25000,1090,847159743,38,หลักด่าน,50,500,677,42,20/7/2018 05:14,0,177,OK
14224,Roel Sporer,20000,390,831627159,39,สวนเขื่อน,10,100,427,46,19/2/2018 01:49,29,327,OK
14225,Edyth Grimes Jr.,50000,590,839813576,16,ทุ่งน้าว,20,200,255,38,18/1/2019 00:02,0,55,TX
14226,Miss Stacy Kassulke,12000,1090,886330687,29,ม่อนปิ่น,50,500,57,26,4/11/2018 08:20,0,0,OK
14227,Prof. Lowell Orn MD,50000,1090,890169466,20,หนองสระ,50,500,134,33,19/1/2019 05:59,0,0,OK
14228,Randall Hickle,18000,1090,898096586,42,เขาบางแกรก,50,500,356,22,7/1/2019 12:44,0,0,OK
14229,Abraham Davis,25000,390,881524104,34,ธาตุนาเวง,10,100,501,52,11/6/2018 01:26,24,401,OK
14230,Antonetta Wolf,20000,1090,893954964,47,หนองบัว,50,500,14,52,9/12/2018 13:39,0,0,OK
14231,Rowan Gislason PhD,20000,390,848852505,15,ธารทหาร,10,100,175,39,30/7/2018 17:45,5,75,OK
14232,Vince Padberg,30000,890,885259554,50,เมืองการุ้ง,30,300,488,44,22/1/2019 09:32,20,188,OK
14233,Jada Dickens DDS,20000,1090,822699640,46,เกาะพระทอง,50,500,705,50,26/3/2018 03:19,0,205,OK
14234,Alanis Gutmann PhD,12000,390,865923841,49,โคกกลอย,10,100,776,21,29/12/2018 20:03,39,676,TX
14235,Zane Price,20000,890,884223733,41,สายนาวัง,30,300,683,44,13/3/2018 13:19,11,383,TX
14236,Enrico Fritsch,18000,590,892174622,28,ด่านศรีสุข,20,200,338,19,9/8/2018 20:48,8,138,TX
14237,Dr. Florida Ferry,15000,890,855596350,5,ม่อนจอง,30,300,398,18,11/2/2018 05:40,0,98,TX
14238,Tomas Stracke,30000,1090,836297880,20,ในเมือง,50,500,52,45,21/12/2018 09:29,0,0,OK
14239,Talon Schulist DDS,25000,390,884293757,17,บึงชำอ้อ,10,100,170,35,14/10/2018 17:52,7,70,TX
14240,Thomas O'Kon,25000,890,893396921,1,ท่ากระดาน,30,300,397,53,7/11/2018 14:05,0,97,TX
14241,Dora Kuhlman PhD,50000,1090,849948778,46,สะกอม,50,500,164,30,13/7/2018 19:49,0,0,TX
14242,Juvenal Fisher,30000,590,883054374,34,ป่าตัน,20,200,311,58,6/2/2019 18:51,14,111,TX
14243,Adolph Reichert,18000,890,823079784,25,หัวเมือง,30,300,106,22,30/12/2018 18:52,0,0,OK
14244,Mrs. Eldora O'Kon V,30000,390,851697846,47,ภูฝ้าย,10,100,463,48,20/9/2018 20:46,37,363,OK
14245,Cielo Stracke,12000,590,854509045,10,หนองราชวัตร,20,200,6,15,12/5/2018 11:08,0,0,OK
14246,Drake Carroll,20000,590,896623199,28,หนองไผ่,20,200,456,36,20/11/2018 18:07,8,256,OK
14247,Jayme Maggio,50000,390,895807321,18,ป่าแป๋,10,100,743,42,28/8/2018 17:34,8,643,TX
14248,Breanna Mitchell,50000,590,895500623,37,หัวโพ,20,200,85,49,19/11/2018 05:26,17,0,TX
14249,Josefa Champlin,20000,390,856643652,17,พุ่มแก,10,100,535,59,6/12/2018 10:31,7,435,TX
14250,Candelario Daniel,50000,390,876777338,50,หนองปรือ,10,100,504,52,19/11/2018 04:35,40,404,TX
14251,Seamus Heathcote DDS,50000,390,848660882,15,จันทบเพชร,10,100,561,43,14/2/2018 11:54,5,461,OK
14252,Mallie Stamm,30000,890,814925324,11,ป่าแงะ,30,300,234,36,11/11/2018 02:49,0,0,OK
14253,Uriel Flatley,20000,1090,890751735,20,บางขัน,50,500,720,51,18/12/2018 19:41,0,220,TX
14254,Florian Kemmer,12000,1090,834642448,35,กระแชง,50,500,623,18,10/12/2018 17:12,0,123,TX
14255,Sibyl Frami,25000,590,824024306,33,วังสรรพรส,20,200,565,32,1/3/2018 13:43,13,365,TX
14256,Ms. Shyann Lockman Jr.,30000,590,896634364,39,หนองผักแว่น,20,200,361,47,10/12/2018 22:42,19,161,OK
14257,Mike Rutherford,20000,1090,871490916,7,โจดหนองแก,50,500,467,25,27/3/2018 02:36,0,0,OK
14258,Desmond Renner,12000,590,897227900,50,ไผ่ขอดอน,20,200,528,28,26/9/2018 17:52,30,328,OK
14259,Aurore Beer,25000,390,819489942,35,แม่จริม,10,100,122,46,22/4/2018 22:44,25,22,OK
14260,Mrs. Holly Harber,30000,390,832684909,23,วังไทร,10,100,403,47,12/7/2018 12:53,13,303,OK
14261,Madisen McGlynn,50000,1090,825727845,43,บางใบไม้,50,500,666,46,20/11/2018 02:33,0,166,OK
14262,Autumn Morissette,15000,1090,822752509,45,โคกขมิ้น,50,500,343,16,19/5/2018 18:02,0,0,OK
14263,Emmalee Krajcik,50000,890,836845230,5,บ้านชุ้ง,30,300,436,38,19/2/2018 14:13,0,136,TX
14264,Rubye McKenzie,15000,890,850628225,44,ภูซาง,30,300,749,28,26/9/2018 21:45,14,449,TX
14265,Miss Maggie Conroy III,12000,1090,820381040,11,สามัคคี,50,500,575,24,7/12/2018 04:14,0,75,OK
14266,Rosendo Harvey,20000,1090,832952952,10,นอกเมือง,50,500,180,50,7/2/2019 18:14,0,0,TX
14267,Prof. Roger Reichel,20000,390,841963253,31,มะเขือแจ้,10,100,672,57,3/12/2018 02:48,21,572,TX
14268,Barbara Rohan,25000,390,832845052,16,นาเรียง,10,100,706,34,27/10/2018 02:57,6,606,OK
14269,Hermina Hettinger,18000,1090,885503143,7,สลุย,50,500,322,29,4/7/2018 01:30,0,0,OK
14270,Agustin Bahringer,50000,890,870294747,37,เหล่าทอง,30,300,173,59,24/3/2018 04:40,7,0,OK
14271,Tabitha Hessel,25000,1090,894898032,15,นาราชควาย,50,500,709,39,1/8/2018 14:40,0,209,TX
14272,Prof. Franz Koch,20000,1090,814409641,34,ตะเสะ,50,500,347,52,23/11/2018 12:13,0,0,OK
14273,Coralie Reichert,50000,890,819367521,47,ห้วยถั่วเหนือ,30,300,18,40,2/4/2018 23:22,17,0,TX
14274,Mr. Raymond Grant MD,12000,590,872734489,36,ทุ่งกวาว,20,200,233,26,12/6/2018 12:31,16,33,TX
14275,Lula Haag,20000,1090,864173367,11,กุดปลาดุก,50,500,192,29,10/6/2018 00:46,0,0,OK
14276,Anthony Hodkiewicz,15000,890,870810562,1,บ้านฝาง,30,300,456,28,4/1/2019 10:59,0,156,TX
14277,Bernie Waelchi V,20000,390,884079188,41,หนองใหญ่,10,100,579,27,27/8/2018 16:53,31,479,TX
14278,Ernesto Rippin,20000,890,897025892,27,โชคชัย,30,300,383,52,8/8/2018 19:17,0,83,OK
14279,Sasha Zboncak,50000,390,890472970,29,ปลักแรด,10,100,194,36,9/5/2018 20:37,19,94,OK
14280,Demarcus Hayes III,15000,1090,871604487,47,ราษฎร์นิยม,50,500,163,21,6/7/2018 20:32,0,0,TX
14281,Yasmin Braun,25000,1090,827386627,39,ตะค่า,50,500,452,44,5/5/2018 15:52,0,0,OK
14282,Dr. Raphaelle Mitchell,15000,890,817341722,3,ปากู,30,300,491,16,18/5/2018 16:08,0,191,OK
14283,Billie Konopelski,20000,1090,848603705,43,วัดตายม,50,500,728,35,4/4/2018 12:53,0,228,OK
14284,Lexus Emard,20000,390,871559167,1,กรอกสมบูรณ์,10,100,235,40,18/3/2018 22:56,0,135,TX
14285,Ward Hettinger,25000,390,852143037,4,พระธาตุขิงแกง,10,100,231,42,16/4/2018 05:23,0,131,OK
14286,Miss Viviane Flatley PhD,18000,1090,842265367,48,คลองจิก,50,500,307,23,30/6/2018 01:35,0,0,TX
14287,Justine Herman,50000,1090,862437338,38,หาดทรายรี,50,500,528,50,21/1/2019 12:00,0,28,OK
14288,Ambrose Doyle,20000,390,872876869,12,นาข้าวเสีย,10,100,176,56,21/6/2018 17:13,2,76,TX
14289,Felicia Schmitt,25000,1090,881682347,36,วารีสวัสดิ์,50,500,15,42,26/6/2018 03:45,0,0,OK
14290,Elsa Reichert Sr.,20000,590,891759713,8,มุจลินท์,20,200,690,30,27/10/2018 15:41,0,490,OK
14291,Prof. Roberto Wehner Jr.,12000,890,894250241,43,บ้านค่าย,30,300,244,26,5/5/2018 10:12,13,0,OK
14292,Prof. Payton Kihn,30000,390,873315553,37,ปากตะโก,10,100,361,39,26/5/2018 00:19,27,261,TX
14293,Rae Bradtke IV,15000,390,853283739,21,อู่ตะเภา,10,100,606,29,16/10/2018 00:44,11,506,OK
14294,Aaron Renner MD,20000,1090,886185251,4,พระเพลิง,50,500,6,55,21/11/2018 14:41,0,0,OK
14295,Rickey Hermann,50000,390,899551275,6,ท่าหินโงม,10,100,644,44,12/5/2018 20:32,0,544,TX
14296,Prof. Nelda Crist II,15000,1090,864548441,32,จอมศรี,50,500,10,26,15/10/2018 11:41,0,0,OK
14297,Stefan Bode,20000,590,855775203,1,ฮอด,20,200,414,15,8/1/2019 11:56,0,214,TX
14298,Dr. Rylee Johns I,30000,390,865848887,41,อุ้มผาง,10,100,233,31,28/4/2018 20:05,31,133,OK
14299,Roxanne Quigley,20000,890,891577328,21,พระรักษ์,30,300,759,30,15/2/2018 14:02,0,459,TA
14300,Antonina Effertz II,15000,1090,861908716,1,โพนงาม,50,500,4,22,9/12/2018 10:01,0,0,OK
14301,Dr. Dallin Collier DVM,18000,590,861456138,20,สาวชะโงก,20,200,28,20,19/5/2018 09:50,0,0,TX
14302,Moshe Von,50000,890,815025571,48,นากระแซง,30,300,34,32,25/3/2018 03:28,18,0,OK
14303,Prof. Faustino Bahringer,50000,1090,819735901,33,โพรงจรเข้,50,500,41,44,18/8/2018 11:58,0,0,OK
14304,Reva O'Connell,20000,590,871819406,7,โนนตาล,20,200,128,41,2/7/2018 03:31,0,0,TX
14305,Era Runte,25000,390,837555803,11,พระพุทธบาท,10,100,213,45,8/1/2019 18:10,1,113,OK
14306,Dr. Cornell Wiza MD,20000,590,876796791,45,แร่,20,200,563,16,3/5/2018 02:51,25,363,TX
14307,Tevin Huel,15000,390,819454134,41,กะทูน,10,100,410,17,27/7/2018 13:33,31,310,TA
14308,Ross Watsica,50000,890,851798303,47,หนองสองห้อง,30,300,196,43,4/7/2018 00:35,17,0,OK
14309,Carrie Keeling DDS,50000,1090,844329217,10,ท่าฉาง,50,500,536,46,14/12/2018 04:39,0,36,OK
14310,Axel Schuster Sr.,15000,590,833031028,17,หนองแสง,20,200,726,17,21/7/2018 05:20,0,526,OK
14311,Tavares Rutherford,12000,390,860517597,17,ชะโนดน้อย,10,100,765,22,2/8/2018 15:10,7,665,OK
14312,Gregorio Ratke MD,50000,590,895614090,27,หนองเชียงทูน,20,200,770,57,24/10/2018 05:20,7,570,TX
14313,Christophe Berge V,20000,390,822410837,16,บุญนาคพัฒนา,10,100,381,50,19/3/2018 08:07,6,281,OK
14314,Miss Rosemary Sipes III,30000,390,837094185,28,ศาลายา,10,100,709,46,20/3/2018 00:28,18,609,OK
14315,Octavia Hamill,50000,1090,885124459,46,ตะเบาะ,50,500,625,46,12/1/2019 08:59,0,125,OK
14316,Floyd Zemlak,12000,390,858289307,30,ส้าน,10,100,189,18,18/2/2018 22:40,20,89,OK
14317,Justice Bergnaum,50000,890,858133513,7,ท่างิ้ว,30,300,639,50,25/2/2018 02:15,0,339,OK
14318,Katelynn Ryan,50000,890,839716452,23,เกาะสาหร่าย,30,300,267,59,9/10/2018 05:48,0,0,TX
14319,Derick Nienow,20000,890,855888715,21,เมืองเพีย,30,300,199,34,20/12/2018 01:32,0,0,OK
14320,Mr. Raheem Herzog,12000,1090,812886816,33,หนองเดิ่น,50,500,99,20,3/4/2018 14:55,0,0,TX
14321,Jayme Reynolds,30000,890,881684644,35,ข้าวเม่า,30,300,541,60,27/1/2019 11:29,5,241,TX
14322,Tyrese Skiles,25000,590,896303688,42,โพนข่า,20,200,678,56,11/12/2018 19:36,22,478,OK
14323,Evert Blanda,30000,1090,885511515,36,บ้านแป้น,50,500,408,46,7/6/2018 05:31,0,0,OK
14324,Angelica Mosciski,15000,1090,887892327,26,หารเทา,50,500,446,22,27/7/2018 18:18,0,0,OK
14325,Kylee Kshlerin,50000,590,812098215,17,บ้านค้อ,20,200,766,35,5/8/2018 23:55,0,566,TX
14326,Jewel Leuschke,50000,1090,835484302,1,อ่าวตง,50,500,383,30,10/7/2018 03:52,0,0,OK
14327,Brigitte Bednar,12000,890,822434451,35,ปากคลอง,30,300,534,19,19/3/2018 14:08,5,234,TX
14328,Marlin Koepp,30000,1090,853187638,19,หนองฮาง,50,500,291,39,1/7/2018 09:04,0,0,OK
14329,Beulah Kautzer,15000,890,870555230,22,นาท่ามเหนือ,30,300,672,28,26/12/2018 12:53,0,372,TX
14330,Ellis Kutch,15000,590,886987063,44,บางลูกเสือ,20,200,54,20,9/3/2018 11:53,24,0,OK
14331,Renee Herzog,15000,590,874104682,50,เขาแหลม,20,200,261,29,3/7/2018 11:38,30,61,TX
14332,Prof. Carson Breitenberg V,50000,890,845712132,9,คณฑี,30,300,284,47,5/4/2018 13:34,0,0,TX
14333,Boris Kutch DDS,50000,890,871048851,19,วังวน,30,300,98,59,12/6/2018 14:14,0,0,TX
14334,Garret Stroman,18000,1090,816876647,17,โนนปอแดง,50,500,592,17,28/7/2018 18:28,0,92,OK
14335,Cristobal Witting,50000,590,852697378,8,เกาะหมาก,20,200,357,36,18/7/2018 01:05,0,157,TX
14336,Electa Baumbach,25000,590,886424541,15,นาทม,20,200,9,51,22/3/2018 19:37,0,0,TX
14337,Leola Kuhic,50000,1090,829772467,43,เซิม,50,500,649,34,20/2/2018 07:08,0,149,TX
14338,Jan Dickens III,25000,1090,864486540,6,บึงแก,50,500,107,60,6/8/2018 16:13,0,0,TA
14339,Ms. Cathryn Prosacco IV,20000,1090,859049439,41,ในเมือง,50,500,628,60,26/2/2018 00:06,0,128,TA
14340,Prof. Frieda Purdy Jr.,20000,390,859374546,4,หนองผือ,10,100,266,48,4/1/2019 06:42,0,166,TA
14341,Pink Keeling,12000,590,842490484,6,ห้วยใหญ่,20,200,512,15,25/10/2018 22:23,0,312,TA
14342,Earl Kerluke,30000,1090,843782600,44,หลุมข้าว,50,500,644,55,28/2/2018 22:36,0,144,TX
14343,Ms. Shawna Moen V,50000,390,853144719,33,หัวโพ,10,100,562,48,2/8/2018 15:53,23,462,OK
14344,Geovanny Dach,50000,890,851951409,7,นาจารย์,30,300,622,40,2/8/2018 03:35,0,322,OK
14345,Prof. Kareem Doyle PhD,20000,890,853150753,33,เขาพระ,30,300,679,45,17/3/2018 23:33,3,379,TX
14346,Christopher Abbott,15000,1090,873611825,40,บางพระครู,50,500,124,22,28/2/2018 06:26,0,0,TX
14347,Dr. Caterina Beatty I,30000,390,874394251,10,เกาะลิบง,10,100,271,40,9/2/2019 02:06,0,171,TX
14348,Dr. Clemens Cummerata,18000,390,874718771,22,มะเริง,10,100,552,21,12/11/2018 08:06,12,452,OK
14349,Prof. Antone Daugherty PhD,30000,1090,893850884,15,บ่อหิน,50,500,782,60,29/10/2018 14:23,0,282,OK
14350,Marina Altenwerth,25000,890,844255492,44,ทรายทอง,30,300,126,46,4/4/2018 04:06,14,0,OK
14351,Berenice Harber,20000,590,836006614,21,ท่าโสม,20,200,416,58,24/12/2018 07:18,1,216,OK
14352,Prof. Alberta McCullough DDS,30000,590,840780583,48,ท้ายหาด,20,200,251,31,21/9/2018 04:22,28,51,TX
14353,Dr. Lowell Torphy Sr.,30000,890,863772459,12,คำแก้ว,30,300,141,58,25/4/2018 01:51,0,0,TX
14354,Audrey Bauch MD,25000,390,899626775,3,ถลุงเหล็ก,10,100,297,41,7/7/2018 17:57,0,197,OK
14355,Mohammad Russel,20000,890,882144063,45,อ่างทอง,30,300,324,21,21/10/2018 07:50,15,24,OK
14356,Asia Hartmann,20000,890,831971261,43,บางกุ้ง,30,300,368,31,29/12/2018 06:40,13,68,TX
14357,Owen Zulauf DVM,20000,1090,873459530,11,หนองกลางนา,50,500,72,45,5/10/2018 08:48,0,0,OK
14358,Melyna Abbott,15000,890,875296116,18,อ่างทอง,30,300,492,19,21/8/2018 18:44,0,192,TX
14359,Ms. Adah Hermiston,20000,390,822540204,14,บางด้วน,10,100,206,18,5/12/2018 00:10,4,106,TX
14360,Darrick Ortiz Sr.,20000,890,866277677,41,กระโด,30,300,342,19,7/3/2018 21:19,11,42,OK
14361,Kaden Wolf,12000,390,858357162,12,ตะเคียน,10,100,199,20,7/1/2019 08:03,2,99,OK
14362,Dereck Cole,25000,1090,885427431,46,เมืองเก่า,50,500,227,48,4/6/2018 11:11,0,0,OK
14363,Mr. Jeff Becker,18000,390,871924003,4,สะบ้าย้อย,10,100,162,28,19/4/2018 22:46,0,62,TX
14364,Dortha Torp,25000,590,818805194,26,ในเมือง,20,200,642,43,16/8/2018 21:52,6,442,OK
14365,Christophe Gleason V,30000,590,852573695,41,ช้างตะลูด,20,200,38,55,16/3/2018 09:41,21,0,OK
14366,Zoey Mueller II,25000,1090,833633927,49,ศรีสุข,50,500,664,51,16/11/2018 12:16,0,164,TA
14367,Janie Hahn,25000,590,897292175,37,เกาะใหญ่,20,200,770,47,8/10/2018 21:58,17,570,OK
14368,Eleanora Barrows,18000,890,852996742,35,เรียง,30,300,236,19,5/7/2018 18:27,5,0,OK
14369,Dr. Lucio Jerde,20000,890,868967661,36,ดอนยายหนู,30,300,299,38,5/1/2019 02:28,6,0,OK
14370,Prof. Shana Denesik DVM,30000,390,833284463,41,สะเดา,10,100,416,60,30/11/2018 06:04,31,316,TX
14371,Cooper Wolf,50000,590,885906736,20,คลองขลุง,20,200,555,59,9/5/2018 07:21,0,355,TX
